City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
183,Upernavik,GL,72.7868,-56.1549,21.65,95,97,6.06,overcast clouds
184,Rio Cuarto,AR,-33.1307,-64.3499,64.17,77,90,31.07,light rain
185,Altamont,US,42.2068,-121.7372,54.39,50,1,0.0,clear sky
186,Klaksvik,FO,62.2266,-6.589,32.92,61,100,18.28,overcast clouds
187,Sinnamary,GF,5.3833,-52.95,79.0,87,95,8.55,light rain
188,Stephenville,US,32.2207,-98.2023,66.92,35,1,5.75,clear sky
189,Vila Velha,BR,-20.3297,-40.2925,80.55,88,20,11.01,heavy intensity rain
190,Bilgoraj,PL,50.5411,22.722,36.66,96,100,15.43,overcast clouds
191,Awbari,LY,26.5921,12.7805,53.65,15,9,6.31,clear sky
192,Hambantota,LK,6.1241,81.1185,76.12,88,18,6.62,few clouds
193,Bambous Virieux,MU,-20.3428,57.7575,73.22,74,11,9.57,light rain
194,Saint Pete Beach,US,27.7253,-82.7412,63.16,50,1,1.01,clear sky
195,Isla Mujeres,MX,21.2311,-86.731,77.16,70,92,12.8,overcast clouds
196,Laukaa,RU,58.7372,29.8453,23.76,93,100,10.31,light snow
197,Geraldton,AU,-28.7667,114.6,68.41,60,1,21.85,clear sky
198,Rivera,UY,-30.9053,-55.5508,61.52,60,0,5.21,clear sky
199,Oktyabrskoye,RU,43.0645,44.7417,50.14,76,0,13.42,clear sky
200,Salalah,OM,17.0151,54.0924,75.29,29,0,12.66,clear sky
201,Butaritari,KI,3.0707,172.7902,82.04,76,37,9.53,scattered clouds
202,Berdigestyakh,RU,62.0989,126.6992,-9.36,99,97,3.33,overcast clouds
203,Port Hawkesbury,CA,45.6169,-61.3485,32.59,81,90,11.01,overcast clouds
204,Carnarvon,AU,-24.8667,113.6333,73.47,64,40,24.16,scattered clouds
205,Tahoua,NE,14.8888,5.2692,73.9,15,89,11.92,overcast clouds
206,Dunedin,NZ,-45.8742,170.5036,52.63,91,100,13.29,overcast clouds
207,Mishan,CN,45.55,131.8833,11.41,78,100,22.1,overcast clouds
208,Banda Aceh,ID,5.5577,95.3222,77.94,82,83,9.42,broken clouds
209,Qitaihe,CN,45.8,130.85,8.19,89,100,18.84,overcast clouds
210,Longyearbyen,SJ,78.2186,15.6401,8.44,72,0,19.57,clear sky
211,Saint-Philippe,RE,-21.3585,55.7679,76.59,80,43,8.12,scattered clouds
212,Palimbang,PH,6.2106,124.1894,81.37,81,99,1.61,overcast clouds
213,Alyangula,AU,-13.8483,136.4192,88.25,60,48,1.54,scattered clouds
214,Korla,CN,41.7597,86.1469,19.74,70,0,2.86,clear sky
215,Iberia,US,29.9502,-91.7507,62.67,62,1,4.61,clear sky
216,Ilhabela,BR,-23.7781,-45.3581,72.03,93,35,4.59,scattered clouds
217,Lebu,CL,-37.6167,-73.65,54.05,88,1,10.85,clear sky
218,Bamenda,CM,5.9527,10.1582,63.63,57,19,0.83,few clouds
219,Gaozhou,CN,21.9392,110.8461,53.73,45,58,5.1,broken clouds
220,Bud,US,39.447,-86.1758,45.32,74,38,6.33,scattered clouds
221,Ca Mau,VN,9.1769,105.15,75.79,93,98,8.84,overcast clouds
222,Santa Lucia,ES,27.9117,-15.5407,56.77,69,40,6.91,scattered clouds
223,Gamba,GA,-2.65,10.0,76.91,89,90,4.45,overcast clouds
224,Nadym,RU,65.5333,72.5167,-6.65,97,100,8.97,overcast clouds
225,Kulhudhuffushi,MV,6.6221,73.07,81.75,77,75,11.21,broken clouds
226,Putina,PE,-15.4667,-69.4333,51.13,66,89,7.78,overcast clouds
