City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
540,Biak,ID,78.94,overcast clouds,-0.9131,122.8766,Penginapan Kim
544,Ixtapa,MX,80.22,broken clouds,20.7,-105.2,Hotel Plaza Providencia
552,San Juan,AR,82.17,scattered clouds,-31.5375,-68.5364,Hotel Provincial
559,Jertih,MY,78.67,heavy intensity rain,5.7336,102.4897,One Utama Hotel
561,Manokwari,ID,83.59,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
562,Sabang,ID,79.5,overcast clouds,5.8933,95.3214,Hotel Citra
569,Mamallapuram,IN,81.05,few clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
573,Tutoia,BR,81.03,overcast clouds,-2.7619,-42.2744,Pousada Guará's
576,Isabela,PH,80.65,overcast clouds,6.7085,121.9711,Isawad Resort
583,Yacuiba,BO,77.59,broken clouds,-22.038,-63.6797,Hotel Monumental
593,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
594,El Roble,CO,75.9,overcast clouds,9.1019,-75.1951,Los Frailes
595,Robertsport,LR,80.98,light rain,6.7533,-11.3686,Kwepunha Retreat
600,Nabire,ID,83.12,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
603,Wewak,PG,81.46,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
606,Areia Branca,BR,80.98,overcast clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
607,Codajas,BR,76.06,heavy intensity rain,-3.8367,-62.0569,Atlântic Hotel
608,Luanda,AO,77.5,overcast clouds,-8.8368,13.2343,Hotel Fórum
612,San Ramon De La Nueva Oran,AR,78.51,broken clouds,-23.1322,-64.326,Hotel Residencial Centro
613,Coahuayana,MX,83.68,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
619,Makakilo City,US,84.52,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
625,Puerto Escondido,MX,83.23,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
635,Namatanai,PG,85.21,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
636,Benjamin Constant,BR,75.33,moderate rain,-4.3831,-70.0311,CASA AVALIADA
639,Ugoofaaru,MV,81.66,broken clouds,5.6667,73.0,Ungoofaaru Inn
640,Abonnema,NG,78.42,scattered clouds,4.7084,6.7931,Corper's Lodge Obonoma
643,Teahupoo,PF,78.76,light rain,-17.8333,-149.2667,Vanira Lodge
650,Waingapu,ID,81.39,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
655,Badou,TG,75.79,broken clouds,7.5833,0.6,Hôtel Abuta
656,Anori,BR,76.46,heavy intensity rain,-3.7728,-61.6442,Novo Hotel 5 Irmãos
659,Sao Francisco,BR,74.91,light rain,-15.9486,-44.8644,Hotel Supremo
661,Cabatuan,PH,79.43,overcast clouds,10.8794,122.486,MVC Transient Room
662,Lakatoro,VU,85.33,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
664,Karratha,AU,92.5,few clouds,-20.7377,116.8463,ibis Styles Karratha
670,Port Augusta,AU,93.7,clear sky,-32.5,137.7667,Majestic Oasis Apartments
